set N := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;
set E := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;
set S := 1;

# Saindo do nó (nó, cano)
set dp := 
(1, 0)
(2, 1)
(3, 2)
(3, 3)
(3, 4)
(4, 5)
(5, 6)
(6, 7)
(6, 8)
(6, 9)
(7, 10)
(8, 11)
(9, 12)
(9, 13)
(9, 14)
(10, 15)
(11, 16)
;

# Entrando no nó
set dn := 
(2, 0)
(3, 1)
(4, 3)
(5, 4)
(6, 2)
(7, 8)
(8, 9)
(9, 7)
(10,13)
(11,14)
(13,15)
(12,12)
(14,16)
(15,5)
(16,6)
(17,10)
(18,11)
;

set T := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param dmin := 0.05;
param dmax := 0.4;

param pmin := 15;
param pmax := 50;

param q := 0.000045;

param hs := 
1 66.89
; 

param L :=
0	10
1	120
2	100
3	120
4	120
5	100
6	100
7	100
8	120
9	120
10	100
11	100
12	100
13	120
14	120
15	100
16	100
;

#
param C := 140;
param w := 10.7;
param a := 1.852;
param b := 4.87;


param Z :=
1	46
2	47
3	49
4	49.2
5	48.5
6	49
7	49.5
8	48
9	50
10	50
11	50
12	50.1
13	50.1
14	50
15	49.5
16	48
17	50
18	50
;


param TD :=
1	0.05
2	0.075
3	0.1
4	0.125
5	0.15
6	0.175
7	0.2
8	0.225
9	0.25
10	0.275
11	0.3
12	0.325
13	0.35
14	0.375
15	0.4;

param QP :=
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0.005
13	0.003
14	0
15  0
16  0
17  0
18  0
;


param QD :=
1	0.00117
2	0.00285
3	0.00545
4	0.00911
5	0.01398
6	0.0202
7	0.0279
8	0.03725
9	0.04836
10	0.0614
11	0.0765
12	0.09381
13	0.11347
14	0.13561
15	0.1604;
